Question ,Modal Answer,Marks,Student ID,Student�s Answer
What is typically included in a class definition?,Data members (attributes) and member functions.,2,[6],"For us it is usually a set, get, and displayMessge or other messages that tell you what properties a class has but does not reveal its implementations. You could have anything you want in your own class definition."
What is typically included in a class definition?,Data members (attributes) and member functions.,4,[5],The attributes of said class. Also whether or not it is a subclass. Also whether it is public private or protected.
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[8],Information telling the compiler what data members and member functions belong to the class.
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[3],"Since class is user defined, the body of the declaration can contain members, that can be either data or function declarations, and optionally access specifiers.  Example for specifiers would be public, private, and protected.  There is the keyword Class and the Class body is enclosed with brackets ({}). "
What is typically included in a class definition?,Data members (attributes) and member functions.,2,[4],An object and data.
What is typically included in a class definition?,Data members (attributes) and member functions.,3,[9],"It's specific class name, includes only information defined by that class... implementation details... etc."
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[22],data members and member functions.
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[23],A class definition usually contains the function and its data members
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[2],Data members and member functions
What is typically included in a class definition?,Data members (attributes) and member functions.,3.5,[29],member functions
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[31],Member functions and data members belonging to the class.
What is typically included in a class definition?,Data members (attributes) and member functions.,4.5,[12],a public and private area that includes the functions and variables that are used in the class
What is typically included in a class definition?,Data members (attributes) and member functions.,3.5,[21],"the keyword class followed by they class name, on the inside you declare public and private declarations of your class"
What is typically included in a class definition?,Data members (attributes) and member functions.,3,[13],A class definition typically includes function definitions.
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[11],"It begins with Class, followed by the class name, then usually a constructor, data members and member functions that delineates the class is included in any class's definition."
What is typically included in a class definition?,Data members (attributes) and member functions.,4.5,[17],the data and methods 
What is typically included in a class definition?,Data members (attributes) and member functions.,4.5,[7],"A constructor, functions, and variables that are accessible to by that class, and possibly other classes depending on how they are done."
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[10],Member functions and data members.
What is typically included in a class definition?,Data members (attributes) and member functions.,2.5,[27],"public section and private section, and there must be a semicolon to set the end"
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[25],member funtions and data members
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[20],Data members and Member functions
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[18],data members and member functions
What is typically included in a class definition?,Data members (attributes) and member functions.,3.5,[19],"the class name and its public data types such as constructors, methods, functions."
What is typically included in a class definition?,Data members (attributes) and member functions.,4.5,[30],"a constructor and several data members, and at least one public data member or method"
What is typically included in a class definition?,Data members (attributes) and member functions.,2,[16],"class name, two curly prenthesis, public and private"
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[26],data members and member functions
What is typically included in a class definition?,Data members (attributes) and member functions.,4.5,[1],Data and functions
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[28],functions and data members that belong to the class
What is typically included in a class definition?,Data members (attributes) and member functions.,5,[15],"class variables, function definitions for the class"
What is typically included in a class definition?,Data members (attributes) and member functions.,4.5,[14],"A class is an expanded concept of a data structure, it holds both the data and the functions being executed "
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,3,[6], Data members are the data components of a particular class.  A member function are the functioning components of the class.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,2.5,[5], A field variable is a variable that is declared as a member of a class. A local variable is avariable that isdeclared local to a method.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[8],"Data members are declared inside the class, but outside of any member functions. Unlike with local variables, each object of the class keeps its own copy of the data members stored in memory."
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[3],Data member are variables that represent an attribute in a class definition.  Local variables declared in a function body cannot be used outside of that function body.  When a function terminates the values of its local variables are lost.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,5,[4],A local variable cannot be accessed outside the function in which it is declared. Data members normally are private. Variables of functions declared private are accessible only to member functions of the class in which they are declared.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[9],"A data member is part of a C++ class or structure that stores data of a certain type... A local variable inside a member function is only available inside that function, and can be used to derive a desired outcome."
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,3.5,[22],A local variable can only be accessed within the scope of its declaration.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[23],Data members are the atributes of the function and can be used outside the function.<br>Local variable can not be used outside the function and the value is lost after the function terminates.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4,[2],"data members are permanent attributes of the class, local variables inside a member function are lost when the scope of the member function ends."
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4,[29],data members are declared in a class definition but outside the bodies of a class's member-function definitions. Local variables are declared in a function definition's body
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[31],"A data member is globally accessible, while a local variable is only accessible inside the member function."
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,5,[12],A variable inside a member function can only be accessed inside that member and a data member can be accessed throughought the program.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[21],Local variables are used only within the scope of its declaration
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,2,[13],"A data member is a more general term describing all objects instantiated within a member function.  ""Local"" in local variables refers more to the scope of a variable, which may be located in anything from a control structure to a class.  Local variables whose scope are in a member function are the same as data members of member functions."
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,3.5,[11],A data member exists permanently in that program's memory as long as it's run.<br><br>A local variable inside a member function is temporal and only used to operate in the function and exists as long as the function is run.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,5,[17],"local variables can only be used within the function, where as data members can be set to public access and can be used throughout"
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[7],"The local variable is lost once it exits the block of code, while the data member is not."
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[10],Every member function can access and modify a data member.<br>A local variable can only be used from the line of declaration to the next closing } before it is lost from memory.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,5,[27],"data member is accessible to all functions in the class, where local variable is only available to the member function and value is lost when function closes"
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[25],Data members are variables that are declared inside the class definition but outside of the bodies of the class member functions. Local variables can only be used within the function declaration.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4,[20],"The data member can be accessed outside of the class, whereas the local variable cannot."
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,5,[18],"Local variables cannot be used outside of that function body. When a function terminates the values of its local variables are lost. Where as data members are variables in a class definition, and they exist throughout the life of the object.<br>"
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,2,[19],a local variable in a member function has to be static. a data member can change its value freely.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,5,[30],"a local variable is only useable within the function it is defined, whereas a data member is available to any method within its class"
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,5,[16],Variable declared in a function defination's body cannot be used outside of that function.<br><br>Data members accessible only to member function of that class.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[26],"data members <br><br>local variables are declared in a function definition’s body.<br>they Cannot be used outside of that function body.<br>When a function terminates, the values of its local variables are lost.<br><br><br>"
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[1],local variable is only available in the function.
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4.5,[28],local variables are accessed inside member functions only while data members <br><br>can be accessed throughout the class
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,5,[15],"A data member is accessible anywhere in the class, while i local variable in a member function is only accessible in that particular function, and is freed after the function exits."
What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.,4,[14],"a Data member is encapsulated within a class or object,  it is static and can be shared by all instances of that class. <br>however local variable's are only used from the function or block in which it is declared and not the whole class. other wise they would be called global variables. "
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",2.5,[6], A constructor initializes an object or objects of a class.  A function of a class performs a task such as display a line of text or do some kind of mathematical operations.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3,[5],"all constructors are functions but not all functions are constructors. Also functions can have nearly infinite purposes, while constructors always create an instance of whichever class you are using. You can change how a constructor does something but not what it does. With functions you can change not only the how but also the what."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",5,[8],"Unlike regular functions, constructors are only used to initialize an object’s data when it is created. Constructors must also be given the same name as the class and cannot return any values.<br>"
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4.5,[3],"A constructor typically used to intialize data members and allocate resources, for instance memory, files, etc.  Also a constructor cannot return values.  Functions are operations that maybe globally defined."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[4],"Constructors cannot return values, so they cannot specify a return type. Normally, constructors are declared public."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3,[9],A constructor is a method that starts new instances of a class. (Example: Employee employee1(parameters) starts a new instance of object of type Employee). A function is simply a module w/in a program that completes its single desired task.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3.5,[22],A constructor is called whenever a new object of that class is made.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[23],A constructor does not return any date and has no return type.<br><br>Functions can return date or not return data can have a return type.
